timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780411511.518,init,-0.0664,7.7118,0.5045,-5.2699,0.4394,0.1780,0.2582
1780411512.072,init,-0.0493,7.7123,0.4972,-5.2694,0.4423,0.1778,0.2582
1780411512.169,init,-0.1100,7.7178,0.4423,-5.2685,0.4388,0.1774,0.2586
1780411512.176,init,-0.0482,7.7161,0.4996,-5.2702,0.4425,0.1776,0.2582
1780411513.051,init,-0.1105,7.7179,0.4400,-5.2682,0.4401,0.1779,0.2583
1780411514.343,init,-0.0987,7.7143,0.4977,-5.2703,0.4402,0.1778,0.2580
1780411514.348,init,-0.0886,7.7107,0.4427,-5.2684,0.4549,0.1779,0.2577
1780411516.610,init,-0.1283,7.7065,0.4551,-5.2683,0.4349,0.1767,0.2587
1780411519.106,start,-0.0524,7.7071,0.4824,-5.2678,0.4513,0.1771,0.2582
1780411525.560,start,-0.1304,7.7110,0.4559,-5.2686,0.4312,0.1758,0.2582
1780411531.310,start,-0.0454,7.7159,0.4821,-5.2719,0.4484,0.1739,0.2576
1780411531.313,start,-0.1153,7.7049,0.4739,-5.2695,0.4332,0.1736,0.2577
1780411531.316,start,-0.0563,7.7156,0.4627,-5.2720,0.4560,0.1739,0.2571
1780411538.582,start,-0.1300,7.7162,0.4473,-5.2667,0.4335,0.1730,0.2576
1780411538.585,start,-0.0558,7.7120,0.4884,-5.2646,0.4458,0.1730,0.2572
1780411542.794,start,-0.0469,7.7119,0.4881,-5.2676,0.4490,0.1725,0.2577
1780411543.688,start,-0.0521,7.7078,0.4719,-5.2666,0.4574,0.1722,0.2571
1780411543.691,start,-0.1142,7.7025,0.4828,-5.2667,0.4399,0.1719,0.2575
1780411543.694,start,-0.0698,7.7124,0.4520,-5.2699,0.4613,0.1722,0.2571
1780411544.166,start,-0.1015,7.7094,0.4976,-5.2694,0.4421,0.1721,0.2581
1780411547.782,start,-0.0545,7.7191,0.4672,-5.2713,0.4561,0.1722,0.2571
1780411547.785,start,-0.1122,7.7084,0.4843,-5.2702,0.4383,0.1721,0.2577
1780411547.787,start,-0.0703,7.7083,0.4503,-5.2678,0.4595,0.1723,0.2573
1780411554.775,start,-0.0943,7.7112,0.4408,-5.2693,0.4556,0.1723,0.2570
1780411559.607,start,-0.1234,7.7045,0.4768,-5.2660,0.4360,0.1712,0.2576
1780411563.239,start,-0.0494,7.7189,0.4716,-5.2713,0.4535,0.1710,0.2569
1780411563.258,start,-0.0621,7.7145,0.4543,-5.2694,0.4591,0.1710,0.2568
1780411563.259,start,-0.0997,7.7098,0.4926,-5.2706,0.4402,0.1707,0.2575
1780411563.260,start,-0.0898,7.7119,0.4374,-5.2691,0.4553,0.1710,0.2573
1780411563.261,start,-0.0856,7.7162,0.4965,-5.2734,0.4402,0.1709,0.2574
1780411563.264,start,-0.1140,7.7185,0.4321,-5.2701,0.4441,0.1707,0.2573
1780411563.265,start,-0.0672,7.7137,0.4975,-5.2697,0.4399,0.1707,0.2570
1780411563.266,start,-0.1243,7.7130,0.4453,-5.2673,0.4347,0.1705,0.2575
1780411563.268,start,-0.0513,7.7110,0.4920,-5.2660,0.4444,0.1706,0.2571
1780411563.269,start,-0.1257,7.7085,0.4616,-5.2642,0.4312,0.1705,0.2576
1780411563.270,start,-0.0547,7.7157,0.4728,-5.2652,0.4520,0.1707,0.2571
1780411563.271,start,-0.1223,7.7108,0.4765,-5.2636,0.4346,0.1704,0.2575
1780411563.278,start,-0.0704,7.7175,0.4522,-5.2639,0.4561,0.1707,0.2570
1780411563.288,start,-0.1066,7.7175,0.4923,-5.2674,0.4380,0.1705,0.2576
1780411563.298,start,-0.0721,7.7192,0.4548,-5.2663,0.4544,0.1706,0.2572
1780411563.307,start,-0.1412,7.7113,0.4598,-5.2666,0.4361,0.1704,0.2576
1780411563.317,start,-0.3201,7.7170,0.3249,-5.2634,0.4321,0.1702,0.2578
1780411563.327,start,-0.2020,7.7081,0.4749,-5.2556,0.4280,0.1701,0.2577
1780411563.337,start,-0.1578,7.7229,0.5139,-5.2490,0.4206,0.1696,0.2585
1780411563.347,start,-0.1799,7.6682,0.5647,-5.2198,0.4079,0.1678,0.2592
1780411563.357,start,-0.6597,7.7576,0.3439,-5.1837,0.3498,0.1617,0.2620
1780411563.368,start,-1.0480,7.8895,0.1144,-5.1581,0.3139,0.1478,0.2642
1780411563.377,start,-1.4710,7.9744,-0.0610,-5.1756,0.2483,0.1183,0.2670
1780411563.388,start,-1.6149,7.9416,-0.1580,-5.2639,0.2409,0.0949,0.2695
1780411563.397,start,-1.6208,7.9524,-0.0726,-5.2977,0.2113,0.0636,0.2735
1780411563.407,start,-1.5753,8.0713,-0.0759,-5.2960,0.2151,0.0201,0.2764
1780411563.417,start,-1.5561,7.9427,0.0008,-5.2295,0.1839,-0.0182,0.2789
1780411563.428,start,-1.7325,8.1366,-0.1232,-5.2915,0.1764,-0.0333,0.2807
1780411563.437,start,-1.6508,8.1709,-0.0478,-5.3183,0.1679,-0.0380,0.2826
1780411563.448,start,-1.8404,8.1026,-0.1770,-5.3124,0.1570,-0.0473,0.2856
1780411563.457,start,-1.8596,7.9586,-0.1846,-5.2346,0.1686,-0.0466,0.2868
1780411563.468,start,-1.9227,8.0735,-0.1856,-5.2256,0.1734,-0.0651,0.2880
1780411563.477,start,-1.7362,7.8855,-0.0977,-5.1247,0.2180,-0.0902,0.2876
1780411563.487,start,-1.5446,7.6536,0.0582,-5.0190,0.2384,-0.1045,0.2878
1780411563.498,start,-1.3139,7.7507,0.1651,-5.0815,0.3050,-0.1006,0.2867
1780411563.507,start,-1.3153,7.7777,0.2392,-5.1439,0.3230,-0.0972,0.2872
1780411563.517,start,-1.2979,7.9382,0.2027,-5.1940,0.3653,-0.0978,0.2864
1780411563.527,start,-1.2005,7.8298,0.3095,-5.1681,0.3835,-0.1124,0.2862
1780411563.537,start,-1.0898,7.6637,0.3554,-5.1313,0.4267,-0.1212,0.2858
1780411563.547,start,-1.0171,7.7365,0.4418,-5.1660,0.4470,-0.1060,0.2857
1780411563.557,start,-1.1032,7.6950,0.3718,-5.1754,0.4514,-0.0960,0.2872
1780411563.567,start,-1.0147,7.8897,0.4142,-5.2211,0.4693,-0.1028,0.2885
1780411563.577,start,-0.9077,7.8020,0.4881,-5.2176,0.4828,-0.1024,0.2894
1780411563.587,start,-0.7420,7.7007,0.5656,-5.2605,0.5206,-0.0716,0.2897
1780411563.597,start,-0.9390,7.8676,0.5068,-5.3191,0.5057,-0.0635,0.2916
1780411563.607,start,-0.9664,7.6747,0.4289,-5.2432,0.5199,-0.0756,0.2932
1780411563.617,start,-1.1086,7.6890,0.3967,-5.1950,0.4971,-0.0934,0.2955
1780411563.628,start,-1.1162,7.6997,0.3524,-5.2598,0.5116,-0.0876,0.2948
1780411563.637,start,-1.0933,7.5860,0.4013,-5.2495,0.4965,-0.0843,0.2950
1780411563.648,start,-1.1267,7.8910,0.3454,-5.2840,0.5007,-0.1107,0.2960
1780411563.657,start,-0.9975,7.8195,0.4420,-5.2254,0.4962,-0.1452,0.2964
1780411563.667,start,-0.8541,7.7980,0.5115,-5.1800,0.5044,-0.1646,0.2956
1780411563.677,start,-0.7207,7.8676,0.6029,-5.2457,0.5237,-0.1530,0.2937
1780411563.687,start,-0.9654,7.7828,0.4836,-5.2552,0.5067,-0.1502,0.2947
1780411563.697,start,-0.9381,7.8739,0.4533,-5.2348,0.5135,-0.1604,0.2959
1780411563.708,start,-1.1344,7.6689,0.3626,-5.1542,0.4873,-0.1697,0.2981
1780411563.718,start,-1.0990,7.7207,0.3432,-5.2096,0.5093,-0.1577,0.2976
1780411563.727,start,-1.0796,7.7670,0.3903,-5.2715,0.4950,-0.1440,0.2991
1780411563.737,start,-0.9923,7.6894,0.3806,-5.2498,0.5090,-0.1304,0.3007
1780411563.747,start,-0.8867,7.7982,0.4827,-5.2492,0.5001,-0.1337,0.3031
1780411563.757,start,-0.7450,7.6653,0.5418,-5.1911,0.5182,-0.1446,0.3034
1780411563.768,start,-0.6607,7.6507,0.6281,-5.2244,0.5211,-0.1422,0.3016
1780411563.777,start,-0.9399,7.7820,0.4559,-5.2958,0.5112,-0.1366,0.3013
1780411563.788,start,-0.9051,7.7129,0.4639,-5.2838,0.5094,-0.1397,0.3014
1780411563.797,start,-1.0458,7.6619,0.3771,-5.2240,0.4927,-0.1636,0.3019
1780411563.807,start,-0.9627,7.5005,0.4109,-5.1878,0.5153,-0.1767,0.2994
1780411563.817,start,-0.9950,7.6801,0.4208,-5.2382,0.5052,-0.1880,0.2974
1780411563.827,start,-0.9127,7.8538,0.4308,-5.2906,0.5247,-0.1978,0.2967
1780411563.838,start,-0.8642,7.6399,0.5019,-5.2003,0.5125,-0.2131,0.2986
1780411563.847,start,-0.6984,7.7343,0.5662,-5.1903,0.5444,-0.2209,0.2977
1780411563.857,start,-0.6581,7.6148,0.6421,-5.2024,0.5368,-0.2160,0.2962
1780411563.867,start,-0.8679,7.6116,0.4860,-5.1794,0.5320,-0.2080,0.2951
1780411563.877,start,-0.9204,7.7588,0.4820,-5.2098,0.5137,-0.2116,0.2965
1780411563.887,start,-1.0949,7.4880,0.3286,-5.1312,0.4970,-0.2185,0.2985
1780411563.897,start,-1.0455,7.5998,0.3631,-5.1802,0.5008,-0.2052,0.2971
1780411563.907,start,-1.0412,7.6862,0.3689,-5.2507,0.4968,-0.1941,0.2950
1780411563.917,start,-0.8262,7.6601,0.4703,-5.2585,0.5208,-0.1914,0.2933
1780411563.927,start,-0.7628,7.7731,0.5453,-5.2241,0.5145,-0.2114,0.2942
1780411563.937,start,-0.6347,7.6085,0.6040,-5.1997,0.5506,-0.2199,0.2936
1780411563.947,start,-0.7044,7.6430,0.6145,-5.2269,0.5364,-0.2206,0.2927
1780411563.957,start,-0.9049,7.8047,0.4447,-5.2879,0.5393,-0.2218,0.2912
1780411563.967,start,-0.9947,7.6809,0.4262,-5.2063,0.5139,-0.2432,0.2926
1780411563.977,start,-1.0350,7.7499,0.3527,-5.2331,0.5200,-0.2556,0.2936
1780411563.987,start,-0.9701,7.6964,0.4197,-5.2620,0.5188,-0.2384,0.2930
1780411563.997,start,-0.9509,7.7570,0.4157,-5.2834,0.5209,-0.2304,0.2921
1780411564.007,start,-0.8145,7.7384,0.5059,-5.2249,0.5331,-0.2480,0.2916
1780411564.017,start,-0.7342,7.6345,0.5605,-5.1873,0.5349,-0.2583,0.2920
1780411564.028,start,-0.5977,7.6907,0.6345,-5.2875,0.5641,-0.2261,0.2908
1780411564.037,start,-0.6987,7.6334,0.6083,-5.3429,0.5470,-0.2018,0.2904
1780411564.047,start,-0.8184,7.6987,0.4897,-5.3389,0.5522,-0.2113,0.2903
1780411564.057,start,-1.0013,7.6579,0.4138,-5.2615,0.5208,-0.2385,0.2924
1780411564.067,start,-1.0561,7.5959,0.3285,-5.2700,0.5283,-0.2365,0.2923
1780411564.077,start,-1.0525,7.6683,0.3690,-5.3391,0.5153,-0.2241,0.2927
1780411564.087,start,-0.9831,7.5576,0.3712,-5.3061,0.5278,-0.2336,0.2923
1780411564.097,start,-0.8500,7.6487,0.4860,-5.2487,0.5330,-0.2618,0.2923
1780411564.107,start,-0.6988,7.6383,0.5632,-5.2601,0.5506,-0.2750,0.2914
1780411564.117,start,-0.5529,7.5063,0.6611,-5.2711,0.5696,-0.2616,0.2901
1780411564.127,start,-0.7420,7.6634,0.5702,-5.2883,0.5568,-0.2685,0.2909
1780411564.138,start,-0.8391,7.5878,0.4799,-5.2357,0.5610,-0.2927,0.2916
1780411564.148,start,-1.0914,7.4807,0.3511,-5.1709,0.5331,-0.3072,0.2921
1780411564.157,start,-1.0556,7.6461,0.3349,-5.2566,0.5528,-0.2873,0.2904
1780411564.167,start,-1.0446,7.6531,0.3731,-5.3261,0.5411,-0.2719,0.2907
1780411564.177,start,-0.9420,7.8797,0.3905,-5.3480,0.5650,-0.2779,0.2912
1780411564.187,start,-0.8405,7.7155,0.4897,-5.2434,0.5544,-0.2907,0.2924
1780411564.197,start,-0.6641,7.5108,0.5573,-5.2442,0.5749,-0.2733,0.2914
1780411564.207,start,-0.5578,7.5823,0.6487,-5.3139,0.5760,-0.2460,0.2913
1780411564.217,start,-0.7840,7.5814,0.5109,-5.2951,0.5625,-0.2466,0.2927
1780411564.227,start,-0.8191,7.6229,0.4766,-5.2188,0.5516,-0.2700,0.2944
1780411564.238,start,-1.0581,7.4619,0.3222,-5.1982,0.5266,-0.2781,0.2952
1780411564.247,start,-1.0290,7.4603,0.3153,-5.2492,0.5381,-0.2566,0.2933
1780411564.257,start,-1.0284,7.5857,0.3359,-5.2501,0.5261,-0.2653,0.2932
1780411564.268,start,-0.8387,7.6213,0.4064,-5.1872,0.5534,-0.2955,0.2926
1780411564.278,start,-0.7347,7.6279,0.5095,-5.1818,0.5491,-0.3085,0.2925
1780411564.288,start,-0.5459,7.4673,0.5990,-5.2133,0.5814,-0.2847,0.2897
1780411564.298,start,-0.5006,7.4774,0.6693,-5.2226,0.5733,-0.2804,0.2894
1780411564.308,start,-0.7304,7.5259,0.5051,-5.1785,0.5721,-0.3012,0.2906
1780411564.318,start,-0.8132,7.3952,0.4703,-5.1384,0.5529,-0.3052,0.2917
1780411564.327,start,-0.9884,7.5417,0.3259,-5.2627,0.5390,-0.2831,0.2914
1780411564.337,start,-0.9094,7.5104,0.3714,-5.2871,0.5423,-0.2552,0.2907
1780411564.347,start,-0.8844,7.5930,0.3859,-5.2920,0.5430,-0.2536,0.2918
1780411564.357,start,-0.7202,7.6646,0.4741,-5.3512,0.5685,-0.2511,0.2920
1780411564.367,start,-0.6656,7.5006,0.5288,-5.3344,0.5578,-0.2370,0.2914
1780411564.377,start,-0.4921,7.7131,0.6130,-5.3826,0.5891,-0.2244,0.2889
1780411564.387,start,-0.5265,7.6352,0.6371,-5.3443,0.5777,-0.2373,0.2895
1780411564.397,start,-0.6855,7.4152,0.4979,-5.2345,0.5812,-0.2477,0.2889
1780411564.407,start,-0.7973,7.5339,0.4583,-5.3096,0.5513,-0.2467,0.2891
1780411564.417,start,-0.9045,7.5391,0.3351,-5.3591,0.5472,-0.2422,0.2879
1780411564.427,start,-0.9019,7.7222,0.3637,-5.3588,0.5379,-0.2504,0.2878
1780411564.438,start,-0.8518,7.7171,0.3774,-5.3306,0.5425,-0.2713,0.2882
1780411564.447,start,-0.6715,7.5053,0.4891,-5.2555,0.5543,-0.2769,0.2872
1780411564.457,start,-0.5771,7.5035,0.5544,-5.2484,0.5561,-0.2684,0.2865
1780411564.467,start,-0.4261,7.4357,0.6489,-5.2449,0.5863,-0.2585,0.2856
1780411564.478,start,-0.5108,7.5848,0.6309,-5.2739,0.5746,-0.2700,0.2865
1780411564.488,start,-0.6476,7.5846,0.5013,-5.2632,0.5819,-0.2716,0.2864
1780411564.498,start,-0.8231,7.4798,0.4245,-5.2906,0.5531,-0.2563,0.2865
1780411564.507,start,-0.8524,7.5749,0.3609,-5.3423,0.5636,-0.2352,0.2852
1780411564.517,start,-0.8272,7.5949,0.4091,-5.3355,0.5522,-0.2349,0.2859
1780411564.527,start,-0.7693,7.5945,0.4147,-5.2617,0.5666,-0.2501,0.2854
1780411564.538,start,-0.6533,7.4246,0.5128,-5.2412,0.5664,-0.2448,0.2842
1780411564.547,start,-0.5467,7.3818,0.5582,-5.2963,0.5724,-0.2220,0.2832
1780411564.557,start,-0.3988,7.5653,0.6566,-5.3475,0.5860,-0.2136,0.2827
1780411564.567,start,-0.5508,7.5471,0.5732,-5.2936,0.5742,-0.2414,0.2845
1780411564.578,start,-0.6115,7.6028,0.5136,-5.2867,0.5779,-0.2616,0.2839
1780411564.588,start,-0.8339,7.4485,0.3913,-5.3062,0.5476,-0.2513,0.2835
1780411564.597,start,-0.8440,7.4130,0.3466,-5.3091,0.5579,-0.2320,0.2825
1780411564.608,start,-0.8677,7.6286,0.3678,-5.3221,0.5462,-0.2576,0.2846
1780411564.618,start,-0.7848,7.4222,0.3741,-5.1952,0.5679,-0.2890,0.2842
1780411564.627,start,-0.6724,7.4005,0.4825,-5.1878,0.5621,-0.2849,0.2825
1780411564.638,start,-0.5170,7.3713,0.5431,-5.2525,0.5829,-0.2576,0.2799
1780411564.648,start,-0.3887,7.2616,0.6489,-5.2189,0.5846,-0.2506,0.2813
1780411564.658,start,-0.5481,7.5050,0.5461,-5.2045,0.5808,-0.2674,0.2832
1780411564.668,start,-0.6440,7.4321,0.4812,-5.2332,0.5704,-0.2624,0.2831
1780411564.678,start,-0.8656,7.4565,0.3380,-5.3229,0.5490,-0.2444,0.2830
1780411564.688,start,-0.8311,7.6118,0.3388,-5.3565,0.5613,-0.2378,0.2837
1780411564.698,start,-0.8120,7.4574,0.3666,-5.2485,0.5544,-0.2590,0.2863
1780411564.707,start,-0.6524,7.4796,0.4299,-5.2389,0.5836,-0.2692,0.2865
1780411564.717,start,-0.6085,7.4191,0.4903,-5.2794,0.5685,-0.2613,0.2861
1780411564.727,start,-0.4399,7.4980,0.5608,-5.3166,0.5971,-0.2553,0.2853
1780411564.738,start,-0.3823,7.5652,0.6356,-5.2898,0.5880,-0.2766,0.2875
1780411564.747,start,-0.5853,7.4182,0.4893,-5.2489,0.5861,-0.2889,0.2885
1780411564.757,start,-0.6276,7.4390,0.4716,-5.3111,0.5672,-0.2755,0.2876
1780411564.767,start,-0.8345,7.4394,0.3067,-5.3447,0.5486,-0.2676,0.2870
1780411564.778,start,-0.7558,7.4710,0.3499,-5.3027,0.5514,-0.2768,0.2876
1780411564.787,start,-0.7323,7.4230,0.3607,-5.2523,0.5504,-0.2930,0.2895
1780411564.797,start,-0.5384,7.2590,0.4583,-5.2540,0.5735,-0.2799,0.2895
1780411564.807,start,-0.4745,7.3737,0.5155,-5.3207,0.5674,-0.2644,0.2892
1780411564.817,start,-0.3070,7.3832,0.6113,-5.3132,0.6005,-0.2624,0.2884
1780411564.827,start,-0.3232,7.5295,0.6430,-5.3091,0.5930,-0.2823,0.2908
1780411564.837,start,-0.4888,7.5683,0.5093,-5.3810,0.6008,-0.2792,0.2913
1780411564.847,start,-0.5968,7.3462,0.4581,-5.3662,0.5714,-0.2616,0.2919
1780411564.857,start,-0.7129,7.5380,0.3401,-5.3761,0.5699,-0.2659,0.2915
1780411564.867,start,-0.6455,7.4079,0.4004,-5.3220,0.5638,-0.2830,0.2914
1780411564.877,start,-0.5867,7.3881,0.4148,-5.2863,0.5717,-0.2907,0.2909
1780411564.887,start,-0.4365,7.4279,0.5235,-5.3361,0.5812,-0.2822,0.2894
1780411564.897,start,-0.4056,7.2483,0.5462,-5.2833,0.5778,-0.2816,0.2889
1780411564.907,start,-0.2494,7.5103,0.6512,-5.3069,0.6057,-0.2909,0.2885
1780411564.917,start,-0.3421,7.4143,0.6186,-5.2339,0.5902,-0.3144,0.2897
1780411564.927,start,-0.4579,7.3221,0.5075,-5.2546,0.5965,-0.3095,0.2889
1780411564.937,start,-0.6103,7.4526,0.4386,-5.3598,0.5673,-0.2895,0.2896
1780411564.947,start,-0.6454,7.3473,0.3539,-5.3371,0.5738,-0.2756,0.2900
1780411564.957,start,-0.6287,7.3900,0.3967,-5.2604,0.5572,-0.2955,0.2920
1780411564.967,start,-0.5565,7.4032,0.4130,-5.2738,0.5769,-0.3089,0.2913
1780411564.978,start,-0.4190,7.4076,0.5284,-5.3301,0.5799,-0.2897,0.2893
1780411564.987,start,-0.3330,7.5173,0.5658,-5.3789,0.5864,-0.2663,0.2883
1780411564.998,start,-0.2085,7.4261,0.6574,-5.3363,0.5986,-0.2677,0.2886
1780411565.007,start,-0.3075,7.4008,0.6034,-5.2606,0.5926,-0.2949,0.2896
1780411565.018,start,-0.3984,7.3022,0.5212,-5.2359,0.5964,-0.2970,0.2881
1780411565.027,start,-0.5958,7.2623,0.4088,-5.2608,0.5664,-0.2846,0.2876
1780411565.038,start,-0.5886,7.3487,0.3769,-5.2898,0.5795,-0.2860,0.2878
1780411565.048,start,-0.5938,7.1848,0.4019,-5.1759,0.5667,-0.3130,0.2903
1780411565.058,start,-0.5049,7.2273,0.4248,-5.1854,0.5918,-0.3190,0.2888
1780411565.067,start,-0.4389,7.2419,0.5044,-5.2310,0.5803,-0.3066,0.2871
1780411565.077,start,-0.3187,7.3538,0.5465,-5.2644,0.5960,-0.3069,0.2865
1780411565.087,start,-0.2011,7.3994,0.6427,-5.2350,0.5977,-0.3255,0.2882
1780411565.097,start,-0.3128,7.1717,0.5592,-5.2263,0.5948,-0.3195,0.2889
1780411565.108,start,-0.3843,7.4214,0.5119,-5.3489,0.5856,-0.2925,0.2866
1780411565.117,start,-0.6228,7.4259,0.3545,-5.3857,0.5615,-0.2843,0.2860
1780411565.127,start,-0.6115,7.3071,0.3373,-5.2898,0.5705,-0.2965,0.2866
1780411565.138,start,-0.6449,7.3543,0.3343,-5.3137,0.5641,-0.3038,0.2880
1780411565.148,start,-0.4870,7.2053,0.4014,-5.3430,0.5920,-0.2770,0.2864
1780411565.157,start,-0.4109,7.3868,0.4787,-5.3790,0.5819,-0.2721,0.2863
1780411565.167,start,-0.2114,7.4791,0.5788,-5.3490,0.6155,-0.2982,0.2861
1780411565.177,start,-0.1399,7.3172,0.6600,-5.3130,0.6129,-0.3166,0.2882
1780411565.187,start,-0.2903,7.4070,0.5475,-5.3929,0.6138,-0.2985,0.2874
1780411565.197,start,-0.3872,7.2889,0.4837,-5.4010,0.5856,-0.2846,0.2878
1780411565.207,start,-0.6124,7.3513,0.3145,-5.3567,0.5687,-0.3132,0.2891
1780411565.217,start,-0.5609,7.3712,0.3467,-5.2794,0.5703,-0.3456,0.2895
1780411565.227,start,-0.5557,7.1977,0.3436,-5.2603,0.5673,-0.3429,0.2887
1780411565.237,start,-0.3679,7.2368,0.4470,-5.3323,0.5897,-0.3160,0.2868
1780411565.247,start,-0.3183,7.2729,0.4939,-5.3289,0.5816,-0.3228,0.2872
1780411565.257,start,-0.1282,7.4083,0.5963,-5.2891,0.6150,-0.3463,0.2873
1780411565.267,start,-0.1211,7.3958,0.6328,-5.3122,0.6060,-0.3507,0.2879
1780411565.277,start,-0.2640,7.2915,0.5216,-5.3692,0.6131,-0.3232,0.2872
1780411565.288,start,-0.3535,7.3344,0.4760,-5.3833,0.5860,-0.3145,0.2889
1780411565.297,start,-0.5055,7.2155,0.3288,-5.2983,0.5806,-0.3306,0.2904
1780411565.308,start,-0.4638,7.1167,0.3670,-5.2158,0.5693,-0.3430,0.2910
1780411565.317,start,-0.4158,7.0822,0.3751,-5.2672,0.5777,-0.3296,0.2896
1780411565.328,start,-0.2274,7.1689,0.5029,-5.3338,0.5892,-0.3126,0.2886
1780411565.337,start,-0.1744,7.4002,0.5375,-5.3716,0.5898,-0.3287,0.2898
1780411565.348,start,-0.0010,7.2282,0.6531,-5.2724,0.6168,-0.3457,0.2886
1780411565.357,start,-0.0616,7.2672,0.6426,-5.3185,0.6100,-0.3423,0.2870
1780411565.367,start,-0.1992,7.2711,0.5251,-5.3820,0.6158,-0.3254,0.2841
1780411565.377,start,-0.3632,7.2035,0.4333,-5.3272,0.5818,-0.3399,0.2854
1780411565.387,start,-0.4250,7.3046,0.3402,-5.2587,0.5899,-0.3636,0.2864
1780411565.398,start,-0.3764,7.1057,0.4007,-5.2186,0.5764,-0.3649,0.2867
1780411565.408,start,-0.2908,7.0829,0.4210,-5.2613,0.5944,-0.3427,0.2844
1780411565.418,start,-0.1600,7.3090,0.5392,-5.3137,0.5927,-0.3342,0.2839
1780411565.427,start,-0.1219,7.3149,0.5480,-5.2721,0.5988,-0.3453,0.2850
1780411565.437,start,0.0176,7.3002,0.6571,-5.2457,0.6118,-0.3480,0.2858
1780411565.447,start,-0.0750,7.0888,0.5941,-5.2573,0.6026,-0.3309,0.2853
1780411565.457,start,-0.1549,7.0856,0.5256,-5.2555,0.6036,-0.3130,0.2840
1780411565.467,start,-0.3283,7.2772,0.4245,-5.2859,0.5777,-0.3272,0.2849
1780411565.477,start,-0.3412,7.1366,0.3699,-5.2153,0.5880,-0.3346,0.2848
1780411565.487,start,-0.3640,7.1493,0.3876,-5.2706,0.5748,-0.3218,0.2845
1780411565.497,start,-0.2663,7.2054,0.4188,-5.3618,0.6018,-0.3005,0.2823
1780411565.507,start,-0.1774,7.3111,0.5139,-5.3710,0.5937,-0.3030,0.2827
1780411565.517,start,-0.0725,7.3470,0.5607,-5.3005,0.6123,-0.3202,0.2832
1780411565.527,start,0.0333,7.2354,0.6599,-5.3033,0.6158,-0.3201,0.2832
1780411565.537,start,-0.0595,7.2609,0.5890,-5.3708,0.6134,-0.2986,0.2828
1780411565.547,start,-0.1451,7.1467,0.5185,-5.3500,0.5984,-0.2815,0.2831
1780411565.557,start,-0.3495,7.1349,0.3759,-5.2930,0.5766,-0.3003,0.2853
1780411565.567,start,-0.3216,7.1548,0.3733,-5.3088,0.5883,-0.3074,0.2860
1780411565.577,start,-0.3290,7.1021,0.3818,-5.3233,0.5794,-0.2937,0.2853
1780411565.587,start,-0.2044,7.2700,0.4402,-5.3861,0.6059,-0.2774,0.2834
1780411565.597,start,-0.1734,7.1709,0.4959,-5.3400,0.5968,-0.2883,0.2843
1780411565.607,start,-0.0237,7.2188,0.5654,-5.3111,0.6261,-0.2998,0.2840
1780411565.617,start,0.0476,7.2140,0.6399,-5.3602,0.6209,-0.2905,0.2842
1780411565.627,start,-0.0655,7.0665,0.5464,-5.3651,0.6216,-0.2684,0.2825
1780411565.637,start,-0.1533,7.2175,0.4993,-5.3862,0.5991,-0.2706,0.2837
1780411565.648,start,-0.3599,7.1179,0.3405,-5.2984,0.5855,-0.2933,0.2856
1780411565.658,start,-0.3328,7.0336,0.3534,-5.2919,0.5818,-0.2902,0.2857
1780411565.667,start,-0.3494,7.2461,0.3420,-5.3875,0.5793,-0.2740,0.2849
1780411565.677,start,-0.1785,7.2364,0.4390,-5.3849,0.5997,-0.2689,0.2842
1780411565.688,start,-0.1293,7.2703,0.4873,-5.3230,0.5930,-0.2931,0.2856
1780411565.697,start,0.0646,7.1793,0.6031,-5.2749,0.6278,-0.3033,0.2847
1780411565.707,start,0.0726,7.0749,0.6405,-5.2898,0.6198,-0.2913,0.2835
1780411565.717,start,-0.0516,7.2213,0.5360,-5.3873,0.6283,-0.2726,0.2816
1780411565.727,start,-0.1678,7.1386,0.4670,-5.3517,0.5998,-0.2837,0.2834
1780411565.737,start,-0.3373,7.0885,0.3206,-5.2560,0.6008,-0.3032,0.2838
1780411565.747,start,-0.2723,7.0060,0.3761,-5.2794,0.5934,-0.2934,0.2832
1780411565.757,start,-0.2244,7.0049,0.3841,-5.3390,0.6035,-0.2730,0.2818
1780411565.767,start,-0.0545,7.1872,0.4993,-5.3517,0.6142,-0.2806,0.2818
1780411565.777,start,-0.0456,7.1389,0.5070,-5.2592,0.6113,-0.3097,0.2830
1780411565.787,start,0.1487,7.1234,0.6315,-5.2688,0.6377,-0.3053,0.2819
1780411565.797,start,0.0981,6.9599,0.6148,-5.3042,0.6271,-0.2858,0.2808
1780411565.808,start,-0.0079,7.0225,0.5274,-5.2989,0.6324,-0.2875,0.2800
1780411565.817,start,-0.1408,7.1118,0.4577,-5.2489,0.6024,-0.3172,0.2816
1780411565.827,start,-0.2443,6.9552,0.3378,-5.2141,0.6073,-0.3205,0.2805
1780411565.837,start,-0.2242,7.0413,0.3744,-5.2993,0.5887,-0.3045,0.2794
1780411565.847,start,-0.1564,7.0508,0.3878,-5.3138,0.6028,-0.2955,0.2773
1780411565.857,start,-0.0059,7.0717,0.5124,-5.2490,0.6010,-0.3123,0.2773
1780411565.867,start,0.0494,7.1403,0.5332,-5.2620,0.6101,-0.3274,0.2777
1780411565.877,start,0.2062,6.9670,0.6643,-5.3055,0.6250,-0.3073,0.2765
