timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1780492018.523,init,-0.7374,6.1494,0.1872,-4.8720,0.3116,0.1589,0.2146
1780492018.575,init,-0.7328,6.1463,0.1905,-4.8714,0.3129,0.1592,0.2146
1780492019.122,init,-0.7213,6.1420,0.2014,-4.8741,0.3179,0.1594,0.2143
1780492019.247,init,-0.7322,6.1468,0.1919,-4.8727,0.3172,0.1591,0.2146
1780492019.731,init,-0.7355,6.1412,0.2026,-4.8767,0.3256,0.1590,0.2142
1780492019.792,init,-0.7362,6.1513,0.1994,-4.8724,0.3239,0.1588,0.2147
1780492019.821,init,-0.7236,6.1435,0.2139,-4.8710,0.3251,0.1591,0.2150
1780492020.021,init,-0.7333,6.1444,0.1890,-4.8734,0.3141,0.1589,0.2153
1780492020.160,init,-0.7350,6.1414,0.1985,-4.8697,0.3207,0.1587,0.2144
1780492020.220,start,-0.7351,6.1461,0.1968,-4.8720,0.3200,0.1586,0.2147
1780492020.500,start,-0.7378,6.1520,0.1909,-4.8748,0.3147,0.1588,0.2150
1780492020.586,start,-0.7390,6.1483,0.1939,-4.8756,0.3154,0.1594,0.2153
1780492020.783,start,-0.7262,6.1458,0.1991,-4.8745,0.3195,0.1584,0.2147
1780492020.971,start,-0.7295,6.1423,0.2072,-4.8793,0.3268,0.1595,0.2145
1780492021.694,start,-0.7256,6.1458,0.2096,-4.8694,0.3247,0.1593,0.2147
1780492021.946,start,-0.7278,6.1498,0.2026,-4.8743,0.3229,0.1592,0.2145
1780492023.014,start,-0.7316,6.1495,0.2076,-4.8732,0.3242,0.1586,0.2143
1780492023.562,start,-0.7278,6.1484,0.2024,-4.8750,0.3173,0.1588,0.2143
1780492023.591,start,-0.7381,6.1481,0.1887,-4.8725,0.3148,0.1588,0.2145
1780492023.625,start,-0.7253,6.1481,0.2050,-4.8717,0.3224,0.1586,0.2145
1780492023.669,start,-0.7277,6.1504,0.1999,-4.8737,0.3184,0.1588,0.2142
1780492023.693,start,-0.7296,6.1529,0.2066,-4.8693,0.3237,0.1589,0.2143
1780492023.707,start,-0.7348,6.1501,0.1906,-4.8742,0.3138,0.1591,0.2146
1780492023.738,start,-0.7277,6.1500,0.1957,-4.8740,0.3123,0.1587,0.2150
1780492023.751,start,-0.7265,6.1478,0.2089,-4.8748,0.3273,0.1589,0.2146
1780492023.761,start,-0.7307,6.1540,0.2016,-4.8680,0.3211,0.1587,0.2147
1780492023.771,start,-0.7337,6.1502,0.1874,-4.8730,0.3092,0.1589,0.2150
1780492023.782,start,-0.7337,6.1490,0.1990,-4.8807,0.3246,0.1590,0.2147
1780492023.791,start,-0.7326,6.1582,0.2056,-4.8719,0.3256,0.1587,0.2146
1780492023.800,start,-0.7306,6.1565,0.1921,-4.8699,0.3097,0.1588,0.2148
1780492023.808,start,-0.7294,6.1478,0.2001,-4.8791,0.3206,0.1592,0.2145
1780492023.817,start,-0.7351,6.1502,0.2059,-4.8730,0.3269,0.1593,0.2143
1780492023.825,start,-0.7369,6.1547,0.1891,-4.8644,0.3118,0.1590,0.2146
1780492023.833,start,-0.7336,6.1475,0.1961,-4.8729,0.3159,0.1592,0.2146
1780492023.841,start,-0.7341,6.1485,0.2045,-4.8769,0.3249,0.1593,0.2145
1780492023.850,start,-0.7143,6.1565,0.2047,-4.8667,0.3140,0.1589,0.2148
1780492023.860,start,-0.7105,6.1545,0.2130,-4.8682,0.3158,0.1590,0.2149
1780492023.868,start,-0.7422,6.1477,0.2175,-4.8777,0.3231,0.1597,0.2148
1780492023.876,start,-0.7436,6.1542,0.2366,-4.8718,0.3102,0.1607,0.2151
1780492023.885,start,-0.7049,6.1683,0.3036,-4.8681,0.3011,0.1638,0.2176
1780492023.895,start,-0.8889,6.1517,0.2453,-4.8578,0.2897,0.1712,0.2213
1780492023.906,start,-0.8889,6.1517,0.2453,-4.8578,0.2897,0.1712,0.2213
1780492023.916,start,-1.4340,6.1127,-0.1068,-4.8097,0.1966,0.2431,0.2297
1780492023.926,start,-1.5588,6.1520,-0.2090,-4.8373,0.1680,0.3386,0.2327
1780492023.937,start,-1.6432,6.0487,-0.2600,-4.7653,0.1456,0.4106,0.2350
1780492023.946,start,-1.5015,5.9214,-0.2077,-4.7188,0.1371,0.4477,0.2375
1780492023.957,start,-1.4148,5.9210,-0.1490,-4.6975,0.1332,0.4769,0.2395
1780492023.965,start,-1.3895,6.0509,-0.1456,-4.7677,0.1130,0.5046,0.2416
1780492023.977,start,-1.4378,6.1613,-0.2011,-4.8650,0.0975,0.5309,0.2444
1780492023.986,start,-1.4378,6.1613,-0.2011,-4.8650,0.0975,0.5309,0.2444
1780492023.997,start,-1.4048,6.2102,-0.2080,-4.9001,0.0839,0.5729,0.2474
1780492024.006,start,-1.3773,6.1044,-0.2306,-4.8471,0.0706,0.5817,0.2490
1780492024.014,start,-1.2326,6.0382,-0.1397,-4.8018,0.0887,0.5808,0.2501
1780492024.022,start,-1.1188,6.1484,-0.0468,-4.8384,0.1151,0.5789,0.2513
1780492024.031,start,-1.1365,6.1510,-0.0452,-4.7517,0.1120,0.5628,0.2519
1780492024.039,start,-1.2485,5.9924,-0.1320,-4.7003,0.1246,0.5513,0.2525
1780492024.048,start,-1.2884,5.8814,-0.1603,-4.6856,0.1367,0.5625,0.2532
1780492024.058,start,-1.0962,5.9808,-0.0653,-4.7318,0.1528,0.5645,0.2531
1780492024.068,start,-0.8459,6.1667,0.1124,-4.8220,0.1988,0.5469,0.2524
1780492024.078,start,-0.7068,6.2813,0.2359,-4.8549,0.2297,0.5455,0.2511
1780492024.089,start,-0.6960,6.2606,0.2508,-4.8885,0.2296,0.5591,0.2503
1780492024.100,start,-0.6735,6.2060,0.2582,-4.8761,0.2369,0.5634,0.2482
1780492024.109,start,-0.7149,6.2468,0.2393,-4.8566,0.2458,0.5584,0.2455
1780492024.119,start,-0.7414,6.3053,0.2143,-4.8898,0.2362,0.5556,0.2447
1780492024.129,start,-0.7107,6.3217,0.2347,-4.9021,0.2347,0.5599,0.2434
1780492024.139,start,-0.9157,6.2886,0.1288,-4.9107,0.2236,0.5612,0.2428
1780492024.148,start,-1.1164,6.2934,-0.0266,-4.9274,0.1880,0.5574,0.2431
1780492024.155,start,-1.1451,6.2993,-0.0677,-4.9123,0.1916,0.5532,0.2437
1780492024.165,start,-0.9722,6.2481,0.0441,-4.8676,0.2070,0.5366,0.2432
1780492024.174,start,-0.7482,6.2227,0.1810,-4.8320,0.2229,0.5214,0.2431
1780492024.181,start,-0.4465,6.2320,0.3943,-4.8130,0.2502,0.5156,0.2428
1780492024.187,start,-0.4725,6.2168,0.4036,-4.7890,0.2589,0.5069,0.2434
1780492024.198,start,-0.7449,6.2354,0.2169,-4.8009,0.2290,0.5016,0.2438
1780492024.206,start,-0.9553,6.2513,0.0601,-4.8062,0.2184,0.5054,0.2448
1780492024.213,start,-1.0558,6.2434,-0.0228,-4.8136,0.2181,0.5060,0.2448
1780492024.221,start,-0.9260,6.2523,0.0379,-4.8383,0.2166,0.5161,0.2436
1780492024.229,start,-0.7652,6.3102,0.1271,-4.8785,0.2405,0.5369,0.2420
1780492024.234,start,-0.7652,6.3102,0.1271,-4.8785,0.2405,0.5369,0.2420
1780492024.240,start,-0.6839,6.2328,0.1401,-4.8462,0.2445,0.5403,0.2402
1780492024.247,start,-0.5464,6.2151,0.2267,-4.7996,0.2542,0.5371,0.2394
1780492024.258,start,-0.5563,6.1880,0.2189,-4.7788,0.2596,0.5346,0.2399
1780492024.265,start,-0.7142,6.2011,0.1065,-4.8020,0.2395,0.5385,0.2415
1780492024.271,start,-0.7813,6.2373,0.0487,-4.7956,0.2402,0.5366,0.2430
1780492024.277,start,-0.8821,6.2493,-0.0448,-4.7734,0.2273,0.5213,0.2453
1780492024.283,start,-0.8792,6.2726,-0.0585,-4.8027,0.2191,0.5248,0.2476
1780492024.290,start,-0.8094,6.2935,-0.0171,-4.8438,0.2303,0.5472,0.2483
1780492024.297,start,-0.7779,6.2846,0.0024,-4.8753,0.2282,0.5583,0.2486
1780492024.309,start,-0.7822,6.2851,-0.0279,-4.8708,0.2229,0.5586,0.2502
1780492024.316,start,-0.6232,6.2840,0.0927,-4.8355,0.2372,0.5564,0.2503
1780492024.323,start,-0.6007,6.2545,0.1063,-4.8197,0.2398,0.5533,0.2505
1780492024.329,start,-0.7362,6.2192,0.0135,-4.8130,0.2210,0.5555,0.2511
1780492024.335,start,-0.8101,6.1911,-0.0356,-4.7904,0.2252,0.5562,0.2512
1780492024.341,start,-0.8690,6.2272,-0.0969,-4.8226,0.2140,0.5470,0.2501
1780492024.346,start,-0.8225,6.3319,-0.0818,-4.8675,0.2168,0.5441,0.2495
1780492024.361,start,-0.7388,6.3883,-0.0254,-4.8817,0.2324,0.5384,0.2489
1780492024.368,start,-0.7114,6.3647,-0.0012,-4.8828,0.2335,0.5310,0.2475
1780492024.376,start,-0.6354,6.3024,0.0226,-4.8435,0.2343,0.5326,0.2457
1780492024.388,start,-0.5564,6.2137,0.0972,-4.8044,0.2475,0.5291,0.2442
1780492024.397,start,-0.5674,6.1787,0.0898,-4.7788,0.2474,0.5192,0.2435
1780492024.407,start,-0.7092,6.1716,-0.0032,-4.7450,0.2270,0.5192,0.2428
1780492024.416,start,-0.8145,6.1782,-0.0739,-4.7730,0.2285,0.5326,0.2429
1780492024.429,start,-0.8578,6.2396,-0.1245,-4.8416,0.2128,0.5461,0.2432
1780492024.438,start,-0.8263,6.3309,-0.1152,-4.8640,0.2129,0.5540,0.2428
1780492024.446,start,-0.7054,6.3788,-0.0242,-4.8700,0.2264,0.5486,0.2423
1780492024.456,start,-0.6981,6.3524,-0.0124,-4.8470,0.2256,0.5442,0.2425
1780492024.467,start,-0.6356,6.2573,0.0123,-4.7929,0.2208,0.5455,0.2421
1780492024.476,start,-0.5919,6.1853,0.0592,-4.7777,0.2310,0.5411,0.2419
1780492024.489,start,-0.5950,6.1502,0.0475,-4.7465,0.2327,0.5356,0.2425
1780492024.498,start,-0.7238,6.1444,-0.0457,-4.7403,0.2143,0.5335,0.2430
1780492024.506,start,-0.8591,6.2288,-0.1399,-4.8136,0.2122,0.5406,0.2428
1780492024.520,start,-0.8650,6.3356,-0.1546,-4.8667,0.1999,0.5502,0.2430
1780492024.526,start,-0.8435,6.3904,-0.1530,-4.8868,0.2038,0.5515,0.2438
1780492024.542,start,-0.7430,6.3652,-0.0784,-4.8595,0.2232,0.5415,0.2437
1780492024.547,start,-0.7162,6.2844,-0.0521,-4.7966,0.2352,0.5337,0.2439
1780492024.559,start,-0.5910,6.2136,0.0115,-4.7737,0.2280,0.5310,0.2448
1780492024.569,start,-0.5110,6.1993,0.0600,-4.7876,0.2290,0.5348,0.2449
1780492024.582,start,-0.6233,6.1762,-0.0010,-4.7730,0.2244,0.5292,0.2453
1780492024.592,start,-0.7570,6.2409,-0.0857,-4.8380,0.2192,0.5202,0.2456
1780492024.600,start,-0.8552,6.3362,-0.1638,-4.8733,0.2101,0.5220,0.2459
1780492024.609,start,-0.9376,6.3592,-0.2267,-4.8668,0.1922,0.5193,0.2450
1780492024.620,start,-0.8309,6.3425,-0.1616,-4.8606,0.2120,0.5130,0.2441
1780492024.628,start,-0.7477,6.3022,-0.0978,-4.8238,0.2177,0.5093,0.2431
1780492024.638,start,-0.7400,6.2562,-0.0998,-4.7922,0.2176,0.5071,0.2427
1780492024.652,start,-0.6107,6.2636,-0.0252,-4.7980,0.2227,0.5075,0.2415
1780492024.659,start,-0.5642,6.2588,0.0092,-4.7881,0.2329,0.5159,0.2415
1780492024.675,start,-0.6324,6.2521,-0.0269,-4.8340,0.2237,0.5246,0.2412
1780492024.683,start,-0.7439,6.2995,-0.1009,-4.8917,0.2137,0.5369,0.2408
1780492024.691,start,-0.7180,6.3992,-0.1148,-4.9213,0.2112,0.5385,0.2411
1780492024.696,start,-1.1282,6.3494,-0.3590,-4.8646,0.1753,0.5249,0.2430
1780492024.710,start,-0.8311,6.3141,-0.1566,-4.8384,0.1998,0.5321,0.2424
1780492024.716,start,-0.6932,6.2451,-0.0721,-4.8229,0.2033,0.5420,0.2427
1780492024.728,start,-0.6924,6.2110,-0.0719,-4.8001,0.1880,0.5354,0.2433
1780492024.737,start,-0.5393,6.2631,0.0478,-4.7759,0.2235,0.5298,0.2431
1780492024.746,start,-0.5161,6.2777,0.0780,-4.7826,0.2262,0.5304,0.2427
1780492024.757,start,-0.6429,6.2744,-0.0071,-4.8493,0.2140,0.5500,0.2437
1780492024.771,start,-0.6693,6.3133,-0.0185,-4.9118,0.2235,0.5702,0.2440
1780492024.778,start,-0.7192,6.3551,-0.0636,-4.8916,0.2219,0.5609,0.2442
1780492024.786,start,-0.6900,6.3682,-0.0533,-4.8565,0.2080,0.5461,0.2449
1780492024.796,start,-0.6430,6.3130,-0.0208,-4.8361,0.2141,0.5512,0.2450
1780492024.814,start,-0.6512,6.2267,-0.0140,-4.8066,0.2151,0.5539,0.2452
1780492024.821,start,-0.6726,6.2150,-0.0468,-4.7983,0.1961,0.5472,0.2458
1780492024.829,start,-0.5718,6.2625,0.0242,-4.7896,0.2075,0.5402,0.2462
1780492024.835,start,-0.5230,6.2715,0.0691,-4.7959,0.2179,0.5316,0.2469
1780492024.847,start,-0.5869,6.3107,0.0204,-4.8487,0.2033,0.5346,0.2472
1780492024.856,start,-0.6759,6.3410,-0.0355,-4.8737,0.2000,0.5444,0.2480
1780492024.868,start,-0.7706,6.3444,-0.1035,-4.8849,0.1905,0.5400,0.2491
1780492024.875,start,-0.7692,6.3307,-0.1232,-4.8662,0.1802,0.5370,0.2500
1780492024.888,start,-0.6796,6.2868,-0.0734,-4.8076,0.1859,0.5349,0.2503
1780492024.897,start,-0.6242,6.2373,-0.0302,-4.7862,0.1958,0.5304,0.2512
1780492024.906,start,-0.5172,6.2398,0.0228,-4.7909,0.1997,0.5378,0.2513
1780492024.918,start,-0.4194,6.2410,0.1069,-4.7907,0.2146,0.5432,0.2509
1780492024.931,start,-0.4148,6.2769,0.1137,-4.8469,0.2198,0.5448,0.2510
1780492024.938,start,-0.5657,6.3412,0.0172,-4.8702,0.2044,0.5499,0.2515
1780492024.950,start,-0.7017,6.3594,-0.0730,-4.8645,0.1906,0.5503,0.2512
1780492024.956,start,-0.7439,6.3344,-0.1319,-4.8532,0.1723,0.5474,0.2508
1780492024.968,start,-0.7136,6.2759,-0.1215,-4.8084,0.1790,0.5476,0.2504
1780492024.978,start,-0.5869,6.2103,-0.0318,-4.7598,0.1862,0.5385,0.2489
1780492024.991,start,-0.5185,6.1860,0.0100,-4.7366,0.1875,0.5301,0.2475
1780492024.998,start,-0.4247,6.1945,0.0698,-4.7251,0.1990,0.5322,0.2459
1780492025.008,start,-0.4220,6.2218,0.0909,-4.7848,0.2098,0.5401,0.2442
1780492025.017,start,-0.4458,6.3020,0.0695,-4.8548,0.1999,0.5486,0.2423
1780492025.025,start,-0.5957,6.3750,-0.0253,-4.8758,0.1899,0.5504,0.2410
1780492025.035,start,-0.7236,6.3981,-0.1032,-4.8926,0.1918,0.5479,0.2403
1780492025.050,start,-0.7263,6.2968,-0.1247,-4.8399,0.1697,0.5474,0.2396
1780492025.059,start,-0.6512,6.2655,-0.0887,-4.8022,0.1755,0.5487,0.2386
1780492025.068,start,-0.5606,6.2759,-0.0155,-4.8155,0.1937,0.5398,0.2377
1780492025.077,start,-0.5487,6.2746,-0.0049,-4.7861,0.1904,0.5336,0.2377
1780492025.087,start,-0.4496,6.2855,0.0460,-4.8083,0.1832,0.5377,0.2377
1780492025.100,start,-0.4301,6.3233,0.0658,-4.8704,0.2035,0.5466,0.2381
1780492025.110,start,-0.4708,6.3486,0.0506,-4.8812,0.1979,0.5500,0.2399
1780492025.116,start,-0.6005,6.3539,-0.0485,-4.8664,0.1733,0.5484,0.2421
1780492025.128,start,-0.7142,6.3289,-0.1299,-4.8345,0.1716,0.5428,0.2446
1780492025.138,start,-0.7070,6.2670,-0.1263,-4.7864,0.1704,0.5373,0.2469
1780492025.148,start,-0.6433,6.2288,-0.1063,-4.7821,0.1697,0.5448,0.2492
1780492025.163,start,-0.5624,6.2143,-0.0486,-4.7689,0.1707,0.5496,0.2505
1780492025.170,start,-0.5451,6.2333,-0.0337,-4.7797,0.1839,0.5460,0.2525
1780492025.175,start,-0.4210,6.3202,0.0386,-4.8204,0.1812,0.5491,0.2533
1780492025.189,start,-0.4155,6.3867,0.0279,-4.8587,0.1817,0.5622,0.2537
1780492025.198,start,-0.4892,6.3864,-0.0201,-4.8869,0.1732,0.5668,0.2526
1780492025.212,start,-0.5989,6.3517,-0.1226,-4.8572,0.1626,0.5670,0.2520
1780492025.219,start,-0.7014,6.2744,-0.2162,-4.7926,0.1410,0.5597,0.2507
1780492025.227,start,-0.7100,6.2187,-0.2385,-4.7483,0.1369,0.5509,0.2490
1780492025.236,start,-0.6321,6.2119,-0.1990,-4.7379,0.1530,0.5562,0.2478
1780492025.246,start,-0.5541,6.2141,-0.1554,-4.7449,0.1562,0.5644,0.2469
1780492025.256,start,-0.4536,6.2526,-0.1023,-4.7919,0.1781,0.5701,0.2466
1780492025.270,start,-0.2984,6.3413,0.0288,-4.8341,0.1995,0.5750,0.2458
1780492025.276,start,-0.2840,6.3908,0.0346,-4.8394,0.1956,0.5745,0.2461
1780492025.286,start,-0.4203,6.3746,-0.0454,-4.8430,0.1742,0.5710,0.2464
1780492025.299,start,-0.5540,6.2995,-0.1319,-4.8090,0.1757,0.5766,0.2467
1780492025.308,start,-0.6516,6.2164,-0.2175,-4.7752,0.1577,0.5738,0.2475
1780492025.322,start,-0.6258,6.2168,-0.2222,-4.7645,0.1446,0.5659,0.2476
1780492025.329,start,-0.5024,6.2439,-0.1437,-4.7405,0.1551,0.5627,0.2466
1780492025.338,start,-0.4312,6.2665,-0.0902,-4.7695,0.1608,0.5637,0.2460
1780492025.346,start,-0.3312,6.3203,-0.0389,-4.8316,0.1604,0.5754,0.2449
1780492025.357,start,-0.3242,6.3735,-0.0173,-4.8544,0.1637,0.5855,0.2422
1780492025.365,start,-0.3192,6.3973,-0.0063,-4.8711,0.1699,0.5790,0.2407
1780492025.380,start,-0.4394,6.3596,-0.0859,-4.8282,0.1541,0.5707,0.2393
1780492025.389,start,-0.5325,6.2861,-0.1533,-4.7823,0.1492,0.5767,0.2382
1780492025.398,start,-0.5677,6.2288,-0.1924,-4.7917,0.1411,0.5850,0.2373
1780492025.405,start,-0.5322,6.2183,-0.1767,-4.7589,0.1459,0.5915,0.2374
1780492025.418,start,-0.4313,6.2410,-0.1094,-4.7634,0.1519,0.5931,0.2378
1780492025.431,start,-0.3940,6.3191,-0.0842,-4.8242,0.1569,0.6001,0.2386
1780492025.436,start,-0.2888,6.3930,-0.0186,-4.8656,0.1673,0.6168,0.2397
1780492025.448,start,-0.2301,6.4187,0.0373,-4.8854,0.1709,0.6234,0.2419
1780492025.456,start,-0.2384,6.3883,0.0254,-4.8708,0.1646,0.6213,0.2441
1780492025.468,start,-0.3733,6.3254,-0.0608,-4.8237,0.1538,0.6219,0.2461
1780492025.476,start,-0.5156,6.2674,-0.1565,-4.8043,0.1421,0.6224,0.2479
1780492025.489,start,-0.5262,6.2603,-0.1842,-4.7948,0.1236,0.6248,0.2484
1780492025.500,start,-0.4922,6.2331,-0.1665,-4.7762,0.1370,0.6292,0.2479
1780492025.507,start,-0.3853,6.2060,-0.0828,-4.7897,0.1483,0.6268,0.2473
1780492025.513,start,-0.3565,6.2758,-0.0703,-4.8202,0.1459,0.6320,0.2471
1780492025.523,start,-0.2435,6.3739,0.0039,-4.8562,0.1573,0.6345,0.2463
1780492025.533,start,-0.2127,6.4006,0.0340,-4.8749,0.1688,0.6298,0.2454
1780492025.543,start,-0.2432,6.3616,0.0112,-4.8510,0.1529,0.6326,0.2450
1780492025.553,start,-0.3731,6.2745,-0.0793,-4.8083,0.1407,0.6354,0.2438
1780492025.563,start,-0.5168,6.2150,-0.1735,-4.7832,0.1324,0.6255,0.2429
1780492025.573,start,-0.5439,6.2116,-0.2063,-4.7449,0.1139,0.6218,0.2426
1780492025.583,start,-0.4819,6.2234,-0.1727,-4.7539,0.1215,0.6308,0.2426
1780492025.593,start,-0.4105,6.2870,-0.1151,-4.8479,0.1285,0.6417,0.2420
1780492025.603,start,-0.3976,6.3833,-0.1142,-4.8837,0.1274,0.6507,0.2425
1780492025.613,start,-0.2222,6.4404,0.0012,-4.8810,0.1396,0.6474,0.2432
1780492025.623,start,-0.1675,6.4114,0.0437,-4.8610,0.1522,0.6473,0.2441
1780492025.633,start,-0.2584,6.2961,-0.0095,-4.8072,0.1363,0.6604,0.2452
1780492025.643,start,-0.3774,6.2186,-0.0950,-4.7980,0.1303,0.6685,0.2473
1780492025.653,start,-0.5025,6.2305,-0.1764,-4.7832,0.1211,0.6645,0.2486
1780492025.663,start,-0.5070,6.2662,-0.1917,-4.7605,0.1120,0.6657,0.2489
1780492025.673,start,-0.4392,6.3062,-0.1523,-4.8124,0.1224,0.6768,0.2486
1780492025.683,start,-0.3881,6.3490,-0.1177,-4.8660,0.1245,0.6958,0.2477
1780492025.693,start,-0.3488,6.3815,-0.1183,-4.8683,0.1212,0.7083,0.2462
1780492025.703,start,-0.2059,6.3954,-0.0337,-4.8549,0.1312,0.7046,0.2446
1780492025.713,start,-0.1586,6.3523,-0.0036,-4.8052,0.1386,0.7032,0.2438
1780492025.723,start,-0.2217,6.2779,-0.0436,-4.7775,0.1247,0.7128,0.2423
1780492025.733,start,-0.3143,6.2395,-0.1202,-4.7919,0.1206,0.7271,0.2414
1780492025.743,start,-0.4509,6.2315,-0.2168,-4.7760,0.1047,0.7311,0.2414
1780492025.753,start,-0.4756,6.2514,-0.2539,-4.7702,0.0915,0.7299,0.2414
1780492025.763,start,-0.3976,6.3211,-0.2101,-4.8167,0.1059,0.7373,0.2411
1780492025.773,start,-0.3383,6.3770,-0.1671,-4.8494,0.1117,0.7505,0.2412
1780492025.783,start,-0.2536,6.3957,-0.1333,-4.8659,0.1092,0.7588,0.2427
1780492025.793,start,-0.0893,6.4056,-0.0078,-4.8742,0.1280,0.7619,0.2436
1780492025.803,start,-0.0525,6.3725,0.0289,-4.8387,0.1375,0.7598,0.2451
1780492025.813,start,-0.1887,6.3165,-0.0557,-4.8057,0.1163,0.7558,0.2480
1780492025.823,start,-0.3079,6.2638,-0.1399,-4.7777,0.1111,0.7580,0.2496
1780492025.833,start,-0.4016,6.2000,-0.2154,-4.7533,0.0987,0.7604,0.2503
1780492025.843,start,-0.3843,6.2343,-0.2233,-4.8027,0.0909,0.7699,0.2508
1780492025.853,start,-0.3094,6.3376,-0.1764,-4.8428,0.0979,0.7763,0.2500
1780492025.863,start,-0.2609,6.3984,-0.1432,-4.8507,0.1073,0.7717,0.2483
1780492025.873,start,-0.1636,6.4412,-0.0964,-4.8576,0.1055,0.7735,0.2466
1780492025.883,start,-0.0444,6.4112,-0.0052,-4.8410,0.1169,0.7849,0.2442
1780492025.893,start,-0.0127,6.3267,0.0265,-4.8171,0.1269,0.7886,0.2421
1780492025.903,start,-0.1409,6.2746,-0.0558,-4.7827,0.1115,0.7884,0.2399
1780492025.913,start,-0.2669,6.2216,-0.1494,-4.7345,0.0976,0.7899,0.2397
1780492025.923,start,-0.3509,6.2187,-0.2185,-4.7709,0.0833,0.7960,0.2399
1780492025.933,start,-0.3345,6.2784,-0.2212,-4.8130,0.0831,0.8127,0.2404
1780492025.943,start,-0.2245,6.3599,-0.1511,-4.8384,0.0982,0.8187,0.2413
1780492025.953,start,-0.1563,6.4151,-0.0946,-4.8534,0.1186,0.8108,0.2431
1780492025.963,start,-0.0317,6.3995,-0.0159,-4.8137,0.1197,0.8054,0.2442
1780492025.973,start,0.0254,6.3131,0.0272,-4.7707,0.1163,0.8067,0.2459
1780492025.983,start,-0.0075,6.2441,0.0121,-4.7657,0.1146,0.8039,0.2479
1780492025.993,start,-0.1885,6.2182,-0.1042,-4.7337,0.1059,0.7951,0.2497
1780492026.003,start,-0.3278,6.2274,-0.2061,-4.7318,0.0913,0.7889,0.2506
1780492026.013,start,-0.3296,6.2882,-0.2283,-4.8021,0.0791,0.7957,0.2506
1780492026.023,start,-0.2642,6.3630,-0.1921,-4.8463,0.0893,0.8071,0.2504
1780492026.033,start,-0.1611,6.4032,-0.1134,-4.8522,0.1007,0.7999,0.2488
1780492026.043,start,-0.1199,6.4046,-0.0854,-4.8225,0.1028,0.7850,0.2477
1780492026.053,start,-0.0296,6.3417,-0.0345,-4.7724,0.1036,0.7757,0.2470
1780492026.063,start,-0.0074,6.2824,-0.0190,-4.7642,0.1168,0.7738,0.2450
1780492026.073,start,-0.0377,6.2435,-0.0313,-4.7438,0.1136,0.7711,0.2444
1780492026.083,start,-0.1561,6.2357,-0.1198,-4.7505,0.1020,0.7716,0.2446
1780492026.093,start,-0.2726,6.3033,-0.2022,-4.8297,0.0978,0.7781,0.2451
1780492026.103,start,-0.2884,6.3794,-0.2158,-4.8504,0.0928,0.7799,0.2451
1780492026.113,start,-0.2474,6.4190,-0.2033,-4.8439,0.0919,0.7772,0.2459
1780492026.123,start,-0.1897,6.3943,-0.1649,-4.8337,0.0993,0.7775,0.2472
1780492026.133,start,-0.1682,6.3212,-0.1482,-4.7931,0.0998,0.7780,0.2474
1780492026.143,start,-0.0049,6.2982,-0.0474,-4.7686,0.1045,0.7752,0.2478
1780492026.153,start,0.0627,6.2971,0.0046,-4.7444,0.1181,0.7713,0.2494
1780492026.163,start,-0.0416,6.2814,-0.0438,-4.7495,0.1081,0.7735,0.2496
1780492026.173,start,-0.1728,6.3066,-0.1472,-4.8279,0.0943,0.7938,0.2505
1780492026.183,start,-0.2971,6.3631,-0.2327,-4.8716,0.0844,0.8036,0.2514
1780492026.193,start,-0.3037,6.4170,-0.2523,-4.8610,0.0798,0.7889,0.2519
1780492026.203,start,-0.2254,6.4233,-0.2168,-4.8297,0.0844,0.7784,0.2511
1780492026.213,start,-0.1293,6.3546,-0.1487,-4.7908,0.0929,0.7817,0.2502
1780492026.223,start,-0.0680,6.2798,-0.1187,-4.7794,0.0933,0.7847,0.2494
1780492026.234,start,0.0495,6.2826,-0.0381,-4.7693,0.1050,0.7811,0.2481
1780492026.243,start,0.0747,6.3091,-0.0054,-4.7573,0.1171,0.7736,0.2465
1780492026.253,start,-0.0391,6.3246,-0.0695,-4.7877,0.1027,0.7710,0.2462
1780492026.263,start,-0.1357,6.3626,-0.1485,-4.8633,0.0986,0.7863,0.2462
1780492026.273,start,-0.2578,6.3858,-0.2308,-4.8881,0.0866,0.7936,0.2464
1780492026.283,start,-0.2586,6.3808,-0.2526,-4.8571,0.0779,0.7830,0.2478
1780492026.293,start,-0.1606,6.3582,-0.1967,-4.8067,0.0864,0.7684,0.2487
1780492026.303,start,-0.0928,6.3063,-0.1485,-4.7559,0.0905,0.7596,0.2487
1780492026.313,start,-0.0147,6.2735,-0.1107,-4.7649,0.0911,0.7595,0.2493
1780492026.323,start,0.1212,6.2975,-0.0028,-4.7894,0.1071,0.7628,0.2500
1780492026.333,start,0.1349,6.3168,0.0182,-4.7983,0.1116,0.7576,0.2515
1780492026.343,start,-0.0111,6.3649,-0.0728,-4.8467,0.0983,0.7520,0.2528
1780492026.353,start,-0.1159,6.4032,-0.1405,-4.8638,0.0956,0.7552,0.2539
1780492026.363,start,-0.2182,6.3912,-0.2274,-4.8568,0.0801,0.7520,0.2541
1780492026.373,start,-0.1924,6.3704,-0.2304,-4.8509,0.0777,0.7500,0.2531
1780492026.383,start,-0.0820,6.3428,-0.1524,-4.8107,0.0891,0.7508,0.2517
1780492026.393,start,-0.0115,6.3094,-0.1093,-4.7929,0.0902,0.7452,0.2503
