timestamp,step,A_1,A_2,A_3,A_4,A_5,A_6,A_7
1781008912.749,start,0.5336,6.1273,0.4376,-4.3035,0.2005,0.4506,0.3254
1781008912.758,start,0.5294,6.1376,0.4349,-4.3084,0.2031,0.4506,0.3254
1781008912.768,start,0.5288,6.1464,0.4462,-4.3135,0.2144,0.4507,0.3252
1781008912.781,start,0.5426,6.1408,0.4601,-4.3138,0.2116,0.4508,0.3253
1781008912.788,start,0.5544,6.1344,0.4677,-4.3105,0.2064,0.4507,0.3252
1781008912.798,start,0.5498,6.1299,0.4728,-4.3051,0.2116,0.4506,0.3252
1781008912.808,start,0.5429,6.1266,0.4663,-4.3030,0.2194,0.4505,0.3252
1781008912.817,start,0.5412,6.1274,0.4588,-4.3064,0.2079,0.4503,0.3253
1781008912.828,start,0.5366,6.1307,0.4503,-4.3073,0.2000,0.4501,0.3253
1781008912.838,start,0.4947,6.1406,0.4475,-4.3119,0.2056,0.4488,0.3251
1781008912.848,start,0.5259,6.1484,0.5188,-4.3141,0.2167,0.4453,0.3250
1781008912.858,start,0.4481,6.1202,0.5462,-4.2953,0.2003,0.4325,0.3253
1781008912.868,start,0.1452,6.1157,0.4344,-4.3560,0.1691,0.3849,0.3259
1781008912.878,start,-0.2763,6.1222,0.2494,-4.4137,0.1403,0.3123,0.3271
1781008912.888,start,-0.5520,6.1965,0.1399,-4.4782,0.1159,0.2212,0.3291
1781008912.898,start,-0.8145,6.3516,0.0532,-4.4762,0.0895,0.1305,0.3319
1781008912.908,start,-0.8562,6.3981,0.0930,-4.4700,0.0818,0.0695,0.3335
1781008912.918,start,-0.8439,6.4093,0.1819,-4.5339,0.0927,0.0420,0.3345
1781008912.928,start,-0.9470,6.3757,0.1665,-4.5289,0.0906,0.0105,0.3362
1781008912.938,start,-1.0037,6.3317,0.1681,-4.4728,0.0769,-0.0372,0.3384
1781008912.948,start,-1.1011,6.2463,0.1095,-4.4056,0.0639,-0.0791,0.3407
1781008912.958,start,-1.2265,6.1103,0.0526,-4.2767,0.0685,-0.1197,0.3431
1781008912.968,start,-1.1178,6.0660,0.1284,-4.3611,0.0723,-0.1177,0.3436
1781008912.978,start,-1.0252,6.2225,0.1837,-4.5272,0.0697,-0.0925,0.3441
1781008912.988,start,-1.0398,6.4549,0.1785,-4.6412,0.0733,-0.0798,0.3442
1781008912.998,start,-1.2191,6.5469,0.0865,-4.6496,0.0803,-0.1151,0.3448
1781008913.008,start,-1.2694,6.3651,0.0432,-4.4907,0.0826,-0.1586,0.3464
1781008913.018,start,-1.3299,6.1476,-0.0243,-4.3384,0.0718,-0.1908,0.3470
1781008913.029,start,-1.1602,6.1564,0.0673,-4.3332,0.0979,-0.1950,0.3465
1781008913.038,start,-0.8572,6.2485,0.2751,-4.3901,0.1535,-0.1937,0.3449
1781008913.048,start,-0.5936,6.2554,0.4619,-4.3999,0.1865,-0.1929,0.3441
1781008913.058,start,-0.4940,6.2181,0.5236,-4.3467,0.1923,-0.2056,0.3443
1781008913.068,start,-0.4969,6.2827,0.5447,-4.3764,0.2013,-0.2108,0.3435
1781008913.078,start,-0.6054,6.3426,0.4882,-4.4363,0.2152,-0.2040,0.3424
1781008913.088,start,-0.7833,6.3099,0.3824,-4.4426,0.1948,-0.1964,0.3416
1781008913.098,start,-0.8426,6.2309,0.3166,-4.3693,0.1763,-0.2160,0.3412
1781008913.108,start,-0.9018,6.1633,0.2883,-4.3486,0.1787,-0.2266,0.3412
1781008913.118,start,-0.7479,6.1922,0.3868,-4.3722,0.2035,-0.2216,0.3411
1781008913.128,start,-0.6858,6.2590,0.4439,-4.3858,0.1937,-0.2225,0.3406
1781008913.138,start,-0.8218,6.3649,0.3489,-4.3802,0.1724,-0.2358,0.3408
1781008913.148,start,-0.9203,6.2781,0.2716,-4.3909,0.1746,-0.2396,0.3408
1781008913.158,start,-0.7533,6.0889,0.3707,-4.3906,0.1925,-0.2245,0.3403
1781008913.168,start,-0.5159,6.1587,0.5155,-4.3959,0.2078,-0.2198,0.3386
1781008913.178,start,-0.4170,6.4403,0.6152,-4.4473,0.2205,-0.2305,0.3373
1781008913.188,start,-0.5829,6.4696,0.5362,-4.4250,0.2240,-0.2415,0.3378
1781008913.198,start,-0.8619,6.3889,0.3425,-4.5034,0.2018,-0.2165,0.3386
1781008913.208,start,-0.9932,6.3643,0.2248,-4.5651,0.1747,-0.1939,0.3387
1781008913.218,start,-0.8694,6.3284,0.2848,-4.4887,0.1742,-0.2002,0.3371
1781008913.228,start,-0.7048,6.1842,0.4000,-4.3403,0.1991,-0.2377,0.3357
1781008913.238,start,-0.4915,6.1392,0.5409,-4.3144,0.2256,-0.2496,0.3353
1781008913.248,start,-0.3641,6.2373,0.6383,-4.4095,0.2377,-0.2338,0.3343
1781008913.258,start,-0.4155,6.3362,0.6240,-4.4634,0.2410,-0.2239,0.3323
1781008913.268,start,-0.6414,6.2893,0.4888,-4.3777,0.2382,-0.2459,0.3317
1781008913.278,start,-0.7747,6.2671,0.4060,-4.3417,0.2246,-0.2610,0.3327
1781008913.288,start,-0.7854,6.3317,0.3767,-4.3987,0.2064,-0.2591,0.3337
1781008913.298,start,-0.7489,6.3940,0.3977,-4.4181,0.2064,-0.2587,0.3321
1781008913.308,start,-0.7022,6.2658,0.4493,-4.3719,0.2202,-0.2716,0.3288
1781008913.318,start,-0.7013,6.1542,0.4580,-4.3626,0.2198,-0.2690,0.3275
1781008913.328,start,-0.6378,6.1420,0.4794,-4.3628,0.2100,-0.2681,0.3277
1781008913.338,start,-0.5679,6.1921,0.5339,-4.3483,0.2186,-0.2884,0.3269
1781008913.348,start,-0.5834,6.2107,0.5467,-4.3124,0.2384,-0.3141,0.3255
1781008913.358,start,-0.7275,6.2561,0.4615,-4.3694,0.2214,-0.3040,0.3249
1781008913.368,start,-0.8581,6.2580,0.3598,-4.4421,0.1976,-0.2837,0.3260
1781008913.378,start,-0.8911,6.3214,0.3346,-4.4570,0.1936,-0.2962,0.3254
1781008913.387,start,-0.8513,6.4479,0.3774,-4.4234,0.2127,-0.3156,0.3243
1781008913.399,start,-0.7250,6.4658,0.4552,-4.4823,0.2149,-0.3066,0.3231
1781008913.409,start,-0.6746,6.3635,0.4810,-4.5396,0.2120,-0.2737,0.3222
1781008913.418,start,-0.5963,6.2738,0.5361,-4.5013,0.2255,-0.2741,0.3215
1781008913.428,start,-0.5783,6.1959,0.5516,-4.3783,0.2409,-0.3043,0.3210
1781008913.438,start,-0.6399,6.1388,0.5081,-4.3435,0.2224,-0.3177,0.3214
1781008913.448,start,-0.8116,6.1987,0.3907,-4.4219,0.2019,-0.3000,0.3226
1781008913.457,start,-0.9619,6.3700,0.3106,-4.4812,0.2011,-0.2896,0.3223
1781008913.468,start,-0.9395,6.3888,0.3225,-4.4730,0.2040,-0.2997,0.3212
1781008913.478,start,-0.8231,6.2966,0.3833,-4.4111,0.2032,-0.3132,0.3206
1781008913.489,start,-0.7063,6.3314,0.4705,-4.4347,0.2111,-0.3038,0.3201
1781008913.498,start,-0.7092,6.3404,0.4892,-4.4938,0.2270,-0.2854,0.3201
1781008913.508,start,-0.6535,6.3618,0.5169,-4.5175,0.2286,-0.2851,0.3193
1781008913.518,start,-0.6560,6.2836,0.5001,-4.4259,0.2178,-0.3039,0.3196
1781008913.528,start,-0.7316,6.1207,0.4619,-4.3865,0.2138,-0.3127,0.3203
1781008913.538,start,-0.8704,6.0949,0.3850,-4.4423,0.2142,-0.3021,0.3209
1781008913.548,start,-1.0023,6.3239,0.3026,-4.5446,0.2078,-0.2894,0.3202
1781008913.558,start,-0.9904,6.5837,0.3011,-4.6073,0.1949,-0.2950,0.3188
1781008913.567,start,-0.8685,6.5661,0.3750,-4.6062,0.2040,-0.3024,0.3182
1781008913.578,start,-0.7567,6.4315,0.4539,-4.6081,0.2243,-0.2893,0.3185
1781008913.588,start,-0.7288,6.3682,0.4671,-4.6001,0.2235,-0.2845,0.3187
1781008913.598,start,-0.6404,6.3437,0.5073,-4.4894,0.2103,-0.3031,0.3186
1781008913.608,start,-0.6393,6.2732,0.5007,-4.4197,0.2145,-0.3323,0.3188
1781008913.618,start,-0.7577,6.2151,0.4514,-4.4749,0.2260,-0.3230,0.3200
1781008913.628,start,-0.8521,6.2378,0.3820,-4.5348,0.2152,-0.3010,0.3207
1781008913.638,start,-0.9376,6.2944,0.3099,-4.4592,0.1930,-0.3192,0.3196
1781008913.648,start,-0.8891,6.3220,0.3440,-4.4049,0.1964,-0.3528,0.3191
1781008913.659,start,-0.7779,6.4310,0.4214,-4.4570,0.2240,-0.3469,0.3203
1781008913.669,start,-0.7066,6.3305,0.4671,-4.4643,0.2165,-0.3288,0.3209
1781008913.678,start,-0.7204,6.1964,0.4397,-4.3998,0.1997,-0.3351,0.3204
1781008913.689,start,-0.6462,6.2100,0.4973,-4.3264,0.2094,-0.3626,0.3196
1781008913.698,start,-0.6401,6.2040,0.5149,-4.3770,0.2318,-0.3545,0.3208
1781008913.708,start,-0.7312,6.2353,0.4645,-4.4999,0.2226,-0.3184,0.3218
1781008913.718,start,-0.8055,6.3382,0.4122,-4.5607,0.2089,-0.3144,0.3210
1781008913.728,start,-0.9218,6.3609,0.3325,-4.4847,0.2046,-0.3366,0.3200
1781008913.738,start,-0.8954,6.3418,0.3442,-4.4570,0.2103,-0.3434,0.3212
1781008913.748,start,-0.7861,6.3048,0.3987,-4.5012,0.2062,-0.3231,0.3234
1781008913.758,start,-0.7124,6.4762,0.4430,-4.5834,0.2056,-0.3176,0.3238
1781008913.769,start,-0.6834,6.4446,0.4621,-4.5458,0.2157,-0.3253,0.3226
1781008913.778,start,-0.6027,6.2731,0.5263,-4.5025,0.2310,-0.3244,0.3232
1781008913.788,start,-0.5683,6.2260,0.5423,-4.5042,0.2310,-0.3175,0.3250
1781008913.799,start,-0.6815,6.3313,0.4772,-4.5280,0.2215,-0.3254,0.3256
1781008913.808,start,-0.7846,6.3388,0.4221,-4.4955,0.2231,-0.3439,0.3251
1781008913.818,start,-0.8262,6.3166,0.3864,-4.4976,0.2182,-0.3453,0.3249
1781008913.828,start,-1.0562,6.4493,0.2503,-4.6469,0.2013,-0.3316,0.3263
1781008913.838,start,-0.6069,6.0023,0.4983,-4.4031,0.2247,-0.3325,0.3256
1781008913.850,start,-0.1566,6.3762,0.8100,-4.5686,0.2651,-0.3465,0.3248
1781008913.858,start,-0.6759,6.4167,0.4276,-4.5379,0.2223,-0.3630,0.3243
1781008913.869,start,-0.6205,6.4245,0.4704,-4.5866,0.2471,-0.3555,0.3255
1781008913.878,start,-0.6518,6.2988,0.4104,-4.6256,0.2234,-0.3341,0.3267
1781008913.889,start,-0.9053,6.2582,0.2025,-4.5659,0.1898,-0.3498,0.3274
1781008913.899,start,-1.1965,6.4109,0.0193,-4.5267,0.1986,-0.3719,0.3275
1781008913.908,start,-0.8477,5.9482,0.1895,-4.3035,0.2007,-0.3843,0.3273
1781008913.919,start,-0.1447,6.3485,0.5913,-4.6158,0.2355,-0.3530,0.3276
1781008913.928,start,-0.7918,6.4831,0.2232,-4.6951,0.2047,-0.3426,0.3269
1781008913.939,start,-0.8382,6.5043,0.2578,-4.6248,0.2543,-0.3545,0.3263
1781008913.948,start,-0.7827,6.3592,0.2534,-4.5815,0.2082,-0.3632,0.3270
1781008913.958,start,-0.6920,6.2562,0.3173,-4.6149,0.1790,-0.3410,0.3284
1781008913.968,start,-0.5096,6.3421,0.5210,-4.6568,0.2664,-0.3230,0.3284
1781008913.978,start,-0.6568,6.4006,0.5212,-4.5982,0.2404,-0.3410,0.3271
1781008913.988,start,-0.7753,6.2906,0.3578,-4.5197,0.1881,-0.3530,0.3289
1781008913.998,start,-0.8962,6.2666,0.3260,-4.5571,0.1781,-0.3364,0.3303
1781008914.008,start,-0.9873,6.4122,0.3158,-4.6540,0.2181,-0.3185,0.3308
1781008914.018,start,-0.8487,6.4859,0.4067,-4.6204,0.1830,-0.3298,0.3299
1781008914.028,start,-0.7422,6.4243,0.4954,-4.5420,0.1756,-0.3488,0.3295
1781008914.038,start,-0.6420,6.3117,0.6139,-4.5428,0.2261,-0.3333,0.3304
1781008914.048,start,-0.6407,6.1607,0.6282,-4.5353,0.2303,-0.3250,0.3313
1781008914.058,start,-0.6174,6.1471,0.5891,-4.4360,0.2074,-0.3389,0.3319
1781008914.068,start,-0.7408,6.2472,0.5244,-4.4225,0.2053,-0.3621,0.3319
1781008914.078,start,-0.8897,6.3398,0.4365,-4.5525,0.2235,-0.3448,0.3329
1781008914.088,start,-0.8890,6.3450,0.4040,-4.6410,0.2044,-0.3098,0.3330
1781008914.098,start,-0.7815,6.3306,0.4533,-4.5593,0.2088,-0.3154,0.3318
1781008914.108,start,-0.6497,6.4380,0.5658,-4.5327,0.2353,-0.3501,0.3300
1781008914.118,start,-0.6690,6.4244,0.5545,-4.5409,0.2411,-0.3546,0.3314
1781008914.128,start,-0.5609,6.3696,0.6002,-4.5851,0.2411,-0.3278,0.3328
1781008914.138,start,-0.5839,6.3264,0.5888,-4.6166,0.2417,-0.3179,0.3324
1781008914.148,start,-0.6867,6.2452,0.5127,-4.5521,0.2343,-0.3383,0.3312
1781008914.158,start,-1.0748,6.3553,0.2847,-4.5838,0.2105,-0.3468,0.3322
1781008914.168,start,-0.7647,6.0055,0.4490,-4.3842,0.2379,-0.3393,0.3332
1781008914.178,start,-0.2044,6.4480,0.8254,-4.6525,0.2634,-0.3317,0.3330
1781008914.188,start,-0.7197,6.4606,0.4482,-4.6206,0.2055,-0.3466,0.3318
1781008914.198,start,-0.7787,6.3749,0.4240,-4.5758,0.2504,-0.3541,0.3318
1781008914.208,start,-0.9094,6.3559,0.2799,-4.6337,0.2257,-0.3437,0.3332
1781008914.218,start,-0.8689,6.4008,0.2012,-4.6498,0.1739,-0.3421,0.3349
1781008914.228,start,-0.5753,6.4939,0.4118,-4.6648,0.2235,-0.3383,0.3334
1781008914.238,start,-0.5700,6.4004,0.5006,-4.6982,0.2537,-0.3407,0.3320
1781008914.248,start,-0.7761,6.3195,0.3144,-4.6928,0.2187,-0.3276,0.3335
1781008914.258,start,-1.2576,6.4637,0.0340,-4.7283,0.1685,-0.3308,0.3352
1781008914.268,start,-1.0143,5.8568,0.1371,-4.3439,0.2142,-0.3636,0.3341
1781008914.278,start,-0.0441,6.3157,0.7884,-4.4997,0.2847,-0.3849,0.3331
1781008914.288,start,-0.4807,6.7173,0.5497,-4.7366,0.2388,-0.3672,0.3335
1781008914.298,start,-0.5246,6.2927,0.5095,-4.6482,0.2872,-0.3274,0.3330
1781008914.308,start,-0.1500,6.6926,0.7984,-4.8463,0.3026,-0.3180,0.3321
1781008914.318,start,-0.6146,6.5356,0.5051,-4.6406,0.2018,-0.3622,0.3322
1781008914.328,start,-0.7182,6.2451,0.5204,-4.5162,0.2441,-0.3697,0.3335
1781008914.338,start,-0.8773,6.1205,0.4258,-4.5668,0.2200,-0.3484,0.3345
1781008914.348,start,-1.0300,6.2409,0.2515,-4.6502,0.1331,-0.3352,0.3353
1781008914.358,start,-1.0084,6.3406,0.2691,-4.5947,0.1556,-0.3497,0.3342
1781008914.368,start,-1.1107,6.3662,0.2615,-4.6137,0.1802,-0.3575,0.3340
1781008914.378,start,-0.9483,6.4563,0.2669,-4.7086,0.1562,-0.3413,0.3358
1781008914.388,start,-0.8094,6.5394,0.3579,-4.7555,0.1617,-0.3204,0.3351
1781008914.398,start,-0.6963,6.3767,0.4651,-4.6390,0.2369,-0.3340,0.3327
1781008914.408,start,-0.5804,6.3290,0.5099,-4.5610,0.2332,-0.3569,0.3310
1781008914.418,start,-0.5466,6.3393,0.4675,-4.5866,0.2075,-0.3479,0.3320
1781008914.429,start,-0.6605,6.4110,0.4178,-4.6682,0.2478,-0.3310,0.3323
1781008914.440,start,-0.9056,6.4201,0.2528,-4.6251,0.2474,-0.3475,0.3317
1781008914.449,start,-0.9836,6.3317,0.1097,-4.5400,0.1885,-0.3680,0.3322
1781008914.458,start,-1.1872,6.3439,0.0020,-4.6226,0.1928,-0.3562,0.3331
1781008914.468,start,-0.6945,5.9137,0.3178,-4.4086,0.2842,-0.3488,0.3312
1781008914.478,start,0.2358,6.4430,0.9515,-4.6383,0.3388,-0.3564,0.3288
1781008914.488,start,-0.0864,6.6060,0.7720,-4.6734,0.2823,-0.3630,0.3273
1781008914.498,start,-0.3667,6.5377,0.6992,-4.7282,0.3222,-0.3402,0.3284
1781008914.508,start,-0.8624,6.4316,0.3360,-4.7418,0.2644,-0.3175,0.3315
1781008914.518,start,-1.1483,6.4104,0.0481,-4.6749,0.1430,-0.3332,0.3339
1781008914.528,start,-1.1070,6.3898,0.0897,-4.5957,0.1609,-0.3436,0.3343
1781008914.538,start,-1.0229,6.3460,0.2294,-4.6171,0.1807,-0.3470,0.3329
1781008914.548,start,-0.9586,6.3518,0.2219,-4.6641,0.1740,-0.3242,0.3329
1781008914.558,start,-0.8664,6.3732,0.3160,-4.6832,0.1733,-0.3155,0.3313
1781008914.568,start,-0.8976,6.3611,0.3162,-4.6233,0.2144,-0.3337,0.3296
1781008914.578,start,-0.6497,6.3359,0.4454,-4.6329,0.2187,-0.3398,0.3292
1781008914.588,start,-0.4983,6.4838,0.5267,-4.7306,0.2376,-0.3192,0.3306
1781008914.598,start,-0.4975,6.5224,0.5826,-4.7849,0.2692,-0.3029,0.3298
1781008914.608,start,-0.6332,6.3994,0.4839,-4.6910,0.2453,-0.3209,0.3284
1781008914.618,start,-0.8279,6.3826,0.3120,-4.6399,0.2083,-0.3371,0.3291
1781008914.628,start,-0.9437,6.4509,0.2580,-4.6781,0.2099,-0.3299,0.3301
1781008914.638,start,-0.9316,6.4511,0.2558,-4.7273,0.2211,-0.3219,0.3303
1781008914.648,start,-0.7806,6.4005,0.3175,-4.6756,0.1976,-0.3357,0.3283
1781008914.658,start,-0.6313,6.3635,0.4093,-4.6518,0.2236,-0.3422,0.3271
1781008914.668,start,-0.3910,6.3451,0.6259,-4.7063,0.2788,-0.3286,0.3264
1781008914.678,start,-0.4273,6.3851,0.5991,-4.7504,0.2636,-0.3188,0.3275
1781008914.688,start,-0.5930,6.5665,0.4823,-4.7811,0.2316,-0.3249,0.3275
1781008914.698,start,-1.0282,6.6614,0.2491,-4.8243,0.2320,-0.3416,0.3272
1781008914.708,start,-0.7799,5.9625,0.3629,-4.4850,0.2488,-0.3507,0.3268
1781008914.718,start,-0.2297,6.3809,0.6913,-4.7025,0.2461,-0.3420,0.3275
1781008914.728,start,-0.6976,6.5521,0.3716,-4.7413,0.2051,-0.3526,0.3268
1781008914.738,start,-0.8122,6.5588,0.3493,-4.7166,0.2634,-0.3725,0.3262
1781008914.748,start,-0.8518,6.4478,0.2484,-4.7338,0.2245,-0.3650,0.3270
1781008914.758,start,-1.0198,6.5362,0.0960,-4.8435,0.1687,-0.3402,0.3290
1781008914.768,start,-0.5558,6.0444,0.3623,-4.5771,0.2567,-0.3340,0.3271
1781008914.778,start,0.1307,6.3463,0.8920,-4.6615,0.3192,-0.3642,0.3243
1781008914.788,start,-0.5261,6.3816,0.4076,-4.6303,0.2426,-0.3739,0.3252
1781008914.798,start,-0.7692,6.4502,0.3309,-4.7253,0.2444,-0.3450,0.3260
1781008914.808,start,-1.0435,6.3988,0.1216,-4.7701,0.2113,-0.3233,0.3268
1781008914.818,start,-1.2064,6.3849,-0.0380,-4.6255,0.1324,-0.3571,0.3266
1781008914.828,start,-1.1047,6.3204,0.0504,-4.5329,0.1547,-0.3682,0.3263
1781008914.838,start,-0.9279,6.3031,0.2438,-4.6557,0.1828,-0.3461,0.3258
1781008914.848,start,-0.6088,6.3914,0.4429,-4.7759,0.1951,-0.3130,0.3247
1781008914.858,start,-0.4078,6.4672,0.6388,-4.7509,0.2280,-0.3172,0.3220
1781008914.868,start,-0.5351,6.3552,0.6366,-4.6897,0.2616,-0.3316,0.3216
1781008914.878,start,-0.6851,6.2049,0.5037,-4.6761,0.2257,-0.3239,0.3235
1781008914.888,start,-0.8405,6.2905,0.3481,-4.7082,0.1905,-0.3163,0.3254
1781008914.898,start,-0.8844,6.4619,0.3114,-4.7141,0.2248,-0.3284,0.3244
1781008914.908,start,-0.7287,6.4552,0.3962,-4.7095,0.2265,-0.3516,0.3225
1781008914.918,start,-0.5085,6.3952,0.4864,-4.6989,0.2189,-0.3397,0.3234
1781008914.928,start,-0.3713,6.4901,0.6004,-4.7311,0.2510,-0.3311,0.3236
1781008914.938,start,-0.3436,6.5127,0.6550,-4.7310,0.2885,-0.3469,0.3229
1781008914.948,start,-0.6599,6.6352,0.4491,-4.8006,0.2503,-0.3622,0.3227
1781008914.958,start,-0.5738,6.0569,0.4578,-4.5766,0.2478,-0.3432,0.3223
1781008914.969,start,-0.2015,6.3865,0.7006,-4.8230,0.2967,-0.3209,0.3229
1781008914.979,start,-0.7024,6.3800,0.3342,-4.7179,0.2395,-0.3632,0.3231
1781008914.988,start,-0.7103,6.3410,0.3339,-4.5970,0.2428,-0.3998,0.3235
1781008914.998,start,-0.7754,6.3670,0.2628,-4.6581,0.2113,-0.3872,0.3244
1781008915.009,start,-0.8455,6.4334,0.1667,-4.7843,0.1827,-0.3557,0.3252
1781008915.018,start,-0.7391,6.4144,0.2158,-4.7927,0.2066,-0.3436,0.3248
1781008915.028,start,-0.6418,6.4291,0.3115,-4.7155,0.2022,-0.3696,0.3229
1781008915.038,start,-0.5742,6.5500,0.3177,-4.7875,0.2101,-0.3630,0.3239
1781008915.048,start,-0.6523,6.5934,0.2935,-4.8959,0.2188,-0.3365,0.3243
1781008915.058,start,-0.6932,6.5700,0.2597,-4.9321,0.2425,-0.3117,0.3239
1781008915.069,start,-0.6776,6.4797,0.2377,-4.8282,0.2075,-0.3203,0.3230
1781008915.078,start,-0.6765,6.2950,0.2257,-4.6983,0.2036,-0.3407,0.3234
